@relation balance
@attribute Leftdistance real [1.0, 5.0]
@attribute Rightweight real [1.0, 5.0]
@attribute Rightdistance real [1.0, 5.0]
@attribute Balancescale {L,B,R}
@inputs Leftdistance, Rightweight, Rightdistance
@outputs Balancescale
@data
1,4,3,R
2,2,3,R
2,3,1,R
2,4,1,R
2,4,3,R
2,5,1,R
3,1,5,R
3,2,2,R
4,1,1,L
4,3,4,R
5,2,5,R
5,3,2,R
1,4,4,R
2,1,3,L
2,2,1,L
2,4,3,R
2,4,5,R
2,5,2,R
4,1,3,L
4,2,5,R
5,5,4,R
2,5,4,R
3,1,1,L
3,3,3,B
4,1,4,L
4,2,5,L
4,3,1,L
4,5,1,L
5,1,3,L
5,3,5,B
1,2,4,R
1,2,5,R
1,3,2,R
1,3,3,R
1,4,2,R
1,5,5,R
2,1,1,L
2,1,4,L
2,1,5,L
2,4,1,L
2,5,1,L
3,3,5,R
3,4,1,L
3,4,3,B
3,5,5,R
4,1,5,L
5,2,5,L
5,4,1,L
5,4,4,L
5,5,3,L
1,1,3,L
1,1,4,L
1,2,3,R
1,3,1,L
1,3,4,R
1,4,1,L
1,5,2,R
2,1,2,L
2,5,1,L
3,1,5,L
3,3,5,B
4,5,4,B
